"game","id","name"
"lorcana","card_00771e93b6bcea7652c5b6cdb8c62bf07d4de6b6fb3d6be3073cdca12b8f6901","Minnie Mouse - Drum Major"
"lorcana","card_00b23afb5d5d30fc4a49a7d68d5f63c68a5f47b9a6353ef180c8216793767ce0","Kuzco - Panicked Llama"
"lorcana","card_02f3370f3a19402b7c39fb9614dee7219d084fc8e78122d9a4c0c48038cbc955","Ursula - Sea Witch Queen"
"lorcana","card_03add9a69a7aea3ff8f6f1b06f8fa8c060cf380371e0aca360583f407bbd6d8c","The Queen - Mirror Seeker"
"lorcana","card_052f05b39f383b3f0284e35bc3bd518801a3045744d4c3e4de0ecbd542000e84","Three Arrows"
"lorcana","card_07b61780d917cae126bf88e2dc17b345f48007d44f614905092b5b82ab0953a8","Norton Nimnul - Misanthropic Genius"
"lorcana","card_0bcfae62fc3a89caf05fb5eb5c13e6412ec860d9987ee0b974ae8c7ac68f28cd","Tamatoa - Seeker of Shine"
"lorcana","card_0c524a959bf902fbff31ccc706a7855d28a5cd75463fd5ec48f65a1b4dcc8bd2","Patch - Intimidating Pup"
"lorcana","card_0d10ac3d2381262cb7c8978f7af45e126c5dfae824a7781da34c99bcb6d3968e","Robin's Bow"
"lorcana","card_1029e334382e7ac51bd6ed528db181318c16c0b50f9955a84b7e23c51152db2c","Institute of Technology - Prestigious University"
"lorcana","card_105e02648f64f56750911373e81de6105edf370c01b3f27e6bb13682ad16f9b6","Elisa Maza - Intrepid Investigator"
"lorcana","card_110c149cb2902e41d13f44e2f801916bd50d59714c4dfa173020eb5d5cbeeefa","Fa Zhou - Mulan's Father"
"lorcana","card_11aae677f628db6408fdc666a09c958166c2023421b1029bd2e0542293d2cc76","Genie - Magical Researcher"
"lorcana","card_1465402c70616c72628f4fb5d30f12e1d8393b0fcdb51f27fb4d81c5ff538fb7","Anna - Ensnared Sister"
"lorcana","card_154a66699a5e70efb4ef7ba851c663977e2571e1745c241287d0aba31f73314f","The Leviathan - Guardian of Atlantis"
"lorcana","card_1586b73b78b6e89b971bf19aac0711ce4aaadb95de43dd512aadd9436085acee","The Firebird - Force of Destruction"
"lorcana","card_15902239b6e52e09951b95d8b7eba8cc4203316546accdbd4286cc1d1e2335c6","Tinker Bell - Tiny Tactician"
"lorcana","card_15cc54d3173f8a7e946bf33582bdc83a10a1544f5f569a3f936b475e57373840","Ursula - Sea Witch Queen"
"lorcana","card_16c03176709c5b8403bced1229a56104cd8537327937cf9c7b731a35f5b98ab7","Atlantica - Concert Hall"
"lorcana","card_176857ca18fc107adaf2e53ef19486eee789555244adeae7569607ed95b42249","Aladdin - Misleading Phantom"
"lorcana","card_179c610800d8231f1929858891fd380e5e3249dc46c22143fa7bc5da9871c815","Merida - Formidable Archer"
"lorcana","card_17f339c318b51090a7c6818f37f881ab51ed1a5bf95e3788e6c61da4500c5399","Jebidiah Farnsworth - Cookie"
"lorcana","card_1e0f5f9094b8558e33c4ea5f684bcedcbeda3a0e5d17a37fc411afeb5fb6b728","Coconut Basket"
"lorcana","card_222bc561f014c5a20dcd07eb9e500c6af745d21899d4d9398837353ff633089e","Iduna - Caring Mother"
"lorcana","card_26e01a6420b79e53751c7ba415807859f69730ea95c20854344e0b6be4f29f1d","Ludwig Von Drake - All-Around Expert"
"lorcana","card_273f9143f06fb305b7b35480d4ee4eca50d072c169e12d722118fc0ce9886570","Hiro Hamada - Future Champion"
"lorcana","card_320b1a66f0f9f657bf477243d4df0440f00959913a37bdf2d551f514908e1910","Peter Pan - Pirate's Bane"
